alpha,beta,gamma,D,coherence,entropy
0.08833206759378084,0.1169083245672661,0.3559710480627821,0.789627412567084,0.00010997781064587297,0.025209207473934982
0.110511479640437,0.08814700329926903,0.7359634095943108,0.6560994132503046,9.312828756829128e-05,0.01691020713699856
0.0956594562171956,0.10835917375634355,0.568424621271258,0.7576148249051494,9.4784542710446e-05,0.01753983945404593
0.09695866110431524,0.10799903014619172,0.3591299397623925,0.7825065520613942,0.00010627026115006171,0.022636888772277004
0.11305581372645655,0.10829018905971476,0.8831002334900968,0.7244665299439197,9.818256524461571e-05,0.019634914831929577
0.07224130667242176,0.08534352852973878,0.6906957758925114,0.9875541664069917,9.584711021936272e-05,0.017745427094372823
0.06654442085389164,0.11195700391014045,0.4704327254361067,0.8613544861817528,0.00010296747971236502,0.020955021632806707
0.0599615461108598,0.11413861758142047,0.8016708914397523,0.9644717181419372,0.00010199433535573157,0.021619381844941624
0.06875925266175581,0.0957964311695157,0.3872129560150714,0.9258286362615233,9.92614312181453e-05,0.019875093714605968
0.07554434541976968,0.08856972395816796,0.8933220250126592,0.7571995357399257,8.761380381966238e-05,0.015116402842560734
0.10136002644403455,0.09006217509238175,0.6035167725734337,0.9739655346566327,9.452007635838114e-05,0.01769435709859117
0.0874327944329094,0.08348052388618252,0.640475522762488,0.9870023635082124,9.621462352074346e-05,0.01792311721572902
0.059069710346465076,0.08691696209416985,0.669832660788103,0.6398959153013348,9.357019659879046e-05,0.01735646512726907
0.11243540554469214,0.10243423979979958,0.43251992873482514,0.9943626967377192,9.955500173155253e-05,0.01944499624175814
0.08180942180816235,0.08192962923693135,0.4766064489788633,0.7193591433517974,0.00010921544968828637,0.024314906374343845
0.09393452724420737,0.08797263888793193,0.8540537350483186,0.9935419026173283,9.263293967106935e-05,0.017279109784531965
0.06998401758255901,0.10635537688331997,0.4869431621692413,0.927733422397325,0.00010003438303854467,0.01939978840438962
0.07763176774017272,0.11824644533199187,0.6137366735552754,0.7824948449472638,0.00010201446467159501,0.02070601982953434
0.09318197535582906,0.11610789982773598,0.30324183773582497,0.9350279682321911,0.00011009753204597341,0.025533422556571643
0.058775345132242716,0.10528787316582004,0.8365048631170777,0.7252766378993981,9.182931030213146e-05,0.01673054797122183
0.07208182256019163,0.11499740842463957,0.4274596845973276,0.6927752739564454,0.00010491352923719944,0.021896209957536158
